id,x,y,brightness,color
75587,0.7231847144911587,0.7333076948125564,1.0,#f8f7ff
74713,0.060237023428924,0.4909870998121515,0.3816206621145699,#aabfff
19675,0.1359915089304146,0.1353314498352218,0.3271338175266745,#fff4ea
8201,0.5862252733917441,0.5517657120774562,0.315463862965791,#f8f7ff
71723,0.0990551040656431,0.0504462884352495,0.3042705274076765,#f8f7ff
109644,0.4881485416766503,0.871660794366262,0.2855732910110397,#cad7ff
117720,0.1798142800460875,0.8683182741317405,0.2457590073515217,#f8f7ff
93641,0.3406616616929546,0.8147481286899563,0.2399077121019508,#f8f7ff
22495,0.8257760188195267,0.9136683499819852,0.2257846382483403,#aabfff
43134,0.5197233490603331,0.2072703405322453,0.2162002687518308,#aabfff
30225,0.4014018469791718,0.1313091355186559,0.1802518490533192,#f8f7ff
24612,0.4895404410489427,0.8228909816574392,0.1681362497503905,#aabfff
76243,0.0232570346895035,0.4258685100197525,0.1620522574318246,#cad7ff
114260,0.2560687094762162,0.3919580396291167,0.1590275968910843,#f8f7ff
28791,0.0487079022697053,0.1655797910344394,0.1557071102962371,#aabfff
33668,0.5250222850008113,0.7456618101725293,0.150825609866342,#cad7ff
39177,0.4204850875186487,0.8342342300078831,0.1485079150663004,#cad7ff
82940,0.3748665915518626,0.022940016023785,0.1483240541906047,#f8f7ff
55374,0.9013167323545352,0.5525696665883966,0.1463193109859618,#f8f7ff
114664,0.5082150572287366,0.7778976261769514,0.1454557264074668,#f8f7ff
103714,0.346100689562638,0.0403516962165672,0.1404343331541953,#f8f7ff
43324,0.3194737825797228,0.7673892906809617,0.1395586593692827,#aabfff
11181,0.7860739660122131,0.5360752585708154,0.134923767161555,#f8f7ff
32914,0.4008505888556096,0.2835301119643859,0.1330055503922496,#f8f7ff
11427,0.055585943192207,0.269554602986502,0.1220441094768011,#aabfff
103696,0.4789589026638109,0.912668081165078,0.1204938065887649,#cad7ff
84167,0.8653421818899988,0.3458260991533594,0.1189967228604002,#aabfff
46577,0.6117903538651005,0.5691859215566857,0.1148551738034726,#cad7ff
34938,0.9824869195631633,0.5968751006766131,0.1074604672193061,#aabfff
14655,0.374463847031324,0.994022557469064,0.1071252773402781,#cad7ff
8181,0.4144030672654962,0.665720395425879,0.1053989388865657,#fff4ea
263,0.0845898323071619,0.7642515394838021,0.1053510941379287,#cad7ff
53120,0.6934465277130142,0.8950376079126213,0.1022987034738195,#fff4ea
7141,0.6793326315438687,0.4390549703494401,0.1014935078820815,#f8f7ff
114310,0.6793001774827354,0.2096527917693196,0.1006811080113085,#cad7ff
21422,0.308661436521347,0.9081153371231132,0.0999972523049183,#f8f7ff
